service_id,date,exception_type
31286,20260101,2
31286,20250501,2
31286,20250504,2
31286,20250623,2
31286,20250624,2
31286,20251118,2
31286,20251224,2
31286,20251225,2
31286,20251226,2
31286,20251231,2
31287,20260101,1
31287,20250501,1
31287,20250504,1
31287,20250623,1
31287,20250624,1
31287,20251118,1
31287,20251224,1
31287,20251225,1
31287,20251226,1
31287,20251231,1
31288,20260101,2
31288,20250501,2
31288,20250504,2
31288,20250623,2
31288,20250624,2
31288,20251118,2
31288,20251224,2
31288,20251225,2
31288,20251226,2
31288,20251231,2
31289,20260101,1
31289,20250501,1
31289,20250504,1
31289,20250623,1
31289,20250624,1
31289,20251118,1
31289,20251224,1
31289,20251225,1
31289,20251226,1
31289,20251231,1
